id,title,status,loc.0,date,time,mins,desc,tags.0,tags.1,tags.2,people.0.id,people.0.name,people.1.id,people.1.name,people.2.id,people.2.name,people.3.id,people.3.name,people.4.id,people.4.name,140
139,United Federation for Science Mixer,,United Federation for Science (GB-6),2017-11-24,17:00,120,Private mixer for United Federation of Science organizers,Mingle,Private,,59,March for Science,,,,,,,,,
17,Joseph Franklin & Friends: Just Venting!,,Main Bridge (GB1-5),2017-11-24,17:30,30,"Ventriloquist Joseph Franklin brings a variety of characters to life in a show full of comedy, with a geeky twist!",Entertainment,,,26,Joseph Franklin,,,,,,,,,
18,Design Your Own Alien,,Holocenter (FS-C),2017-11-24,18:00,60,What do you see other life forms looking like? What would they have that we don't? How do they survive on their planet? Create your vision of what you think other beings will look like when we make it to their planet in this craft workshop.,Workshop,Crafting,STEM,4,Beth Ann Broadhurst,,,,,,,,,
19,Banana DNA: a closer look,,Guinan's Place (Brickyard),2017-11-24,18:00,60,"Join us as we extract the building blocks of life from a banana. Participants will have the opportunity to extract DNA from a banana, watch it form, and view it under a microscope. Space is extremely limited.",Workshop,STEM,,48,Sarah Gillard,,,,,,,,,
20,Cosplay is Not Consent,,Briefing Room (DR-2),2017-11-24,18:00,60,"Every convention should have guidelines in place already to protect convention attendees from harrassment. This panel will help individuals that cosplay, as well as people that like to view and enjoy it, know how to make things easier and more enjoyable for everyone.",Cosplay,,,37,Michelle Allen,,,,,,,,,
21,Moxie's Variety Hour,,Main Bridge (GB1-5),2017-11-24,18:00,60,"Moxie Anne Magnus breathes new life into the variety show the way Dr. Frankenstein breathed new life into that monster of his. Music, comedy, game show, and more! Come along for an hour of intergalactic awesomeness!",Entertainment,,,40,Moxie Ann Magnus,,,,,,,,,
22,Ain't No Party Like A Klingon Party!,,tlhIngan rlvSo' (Intl Boardroom),2017-11-24,18:00,60,"House parties, potlucks, room parties.... get tips, recipes, & ideas!",Mingle,Klingon,,23,Jen Usellis,,,,,,,,,
24,Opening Ceremonies,,Main Bridge (GB1-5),2017-11-24,19:00,60,Kickoff your Starbase Indy experience with Opening Ceremonies hosted by Moxie Ann Magnus!,Entertainment,,,40,Moxie Ann Magnus,,,,,,,,,
25,Engineering Soft Scifi Spaceships,,Astrophysics (FS-D),2017-11-24,20:00,60,"The engineering process is not just for the nitty-gritty details of hard SF-it's also a great way to develop a setting in a way that meshes with your plot. From requirements development to trade studies and conceptual design, the engineering process can be toned to just the right hardness for a space opera romp while lending texture to setting and plot.",Presentation,STEM,,50,Shannon Eichorn,,,,,,,,,
27,Costume Contest Show,,Main Bridge (GB1-5),2017-11-24,20:00,60,"Hosted by the fabulous Moxie Ann Magnus and judged by Aris of your local cosplay shop Incognito by Aris & Rome, this year’s cosplay event is sure to be extra spectacular. Come watch or participate in the costumed pageantry, win fabulous prizes and stay for dancing and karaoke directly following! ",Cosplay,,,40,Moxie Ann Magnus,73,Aris,,,,,,,
23,Star Trek Attack Wing Tabletop Game,,Observation Lounge (Golden Preconvene),2017-11-24,20:00,120,"Star Trek: Attack Wing is a tactical space combat miniatures game, featuring collectible pre-painted ships from the Star Trek Universe. Utilizing the FlightPath™ maneuver system, command your fleet in space combat & customize your ship with a captain, crew, weapons and tech upgrades. Choose fleets from the Dominion, Federation, Klingon and Romulan factions based on abilities, maneuvers, upgrades and more. Take command of your ship or fleet, defeat your opponent and save the universe...",Gaming,,,56,Blue Moon Comics,,,,,,,,,
26,Quark's VIP Reception,,Intergalactic Mess Hall (FS- A/B),2017-11-24,20:00,120,"If you are staying with us at the Wyndham, you are eligible to attend this special exclusive reception where you can nibble on hors d’oeuvres, meet other attendees, and rub elbows with our guest stars. There will be one hour of free drinks followed by an hour of cash bar.

(Note for non-Earth residents and time travelers: “Rub elbows” is a common figure of speech in the 21st century. Please do not actually attempt to rub the elbows of anyone else at this reception.)
",Mingle,,,,,,,,,,,,,
28,The Science of Sexuality,,Astrophysics (FS-D),2017-11-24,21:00,60,"Sexuality research is still in its infancy and is often contaminated by cultural beliefs about gender, stereotypical sex roles, and so on. This presentation will cover what we actually know to be true about sexual activities, arousal, and orientations, as well as how we know what we know. Be prepared to nerd out with lots of citations!",Presentation,STEM,,22,Dr. Jeana Jorgensen,,,,,,,,,
31,Cosplay Dance/Karaoke,,Guinan's Place (Brickyard),2017-11-24,21:00,180,"Join DJ Spinson Lot, the DJ who won't stop, as they entertain and delight you with karaoke, dance tunes, and general celebration. Take your cosplay for a spin on the dance floor, or just mingle with other attendeesOpen to all ages. ",Cosplay,,,17,DJ Spinsinlot,,,,,,,,,
29,Flies in Amber LARP,,Holocenter (FS-C),2017-11-24,21:00,240,"In a spirit of cooperation, the Federation and the Klingon Empire have come to an agreement to share resources along the Neutral Zone. One of these places is a small class M planet simply known as NZ0002. The planet is rich in dilithium ore. While excavating a rich vein, a Federation mining company found something buried in a rock face. This object of unknown origin was reported to Starfleet. The Federation has dispatched an Oberth Class Science Vessel, The USS Archimedes to investigate. Not to be outdone, the Klingon Empire has also sent out a ""science"" vessel the IKS Vulture, to make sure any information gleamed from this strange object is shared.
 
""Flies in Amber” is a Cthulhu Live! / Star Trek crossover LARP set in the 23rd century. This is the Original Series timeline. Players will take up the roles of Miners, Members of the crew of The Archimedes, and loyal servants of the Klingon Empire. There are several alien races to choose from and costumes are encouraged. Characters are pre-assigned but there may be some spaces left. See the Starbase Indy booth in the vendor room for more information. 
",LARP,,,61,PST Productions,,,,,,,,,
30,Movie: Smithsonian's Building Star Trek,,Main Bridge (GB1-5),2017-11-24,21:30,120,"When ""Star Trek"" first aired in 1966, it expanded the viewers' imaginations about what was possible in their lifetimes. Today, many of the space-age technologies displayed on the show, like space shuttles, cell phones, and desktop computers, have already gone from science fiction to science fact. Other innovations, like warp drive, teleportation, and medical tricorders are actively in development. Join us as we celebrate the 50th Anniversary of ""Star Trek"" - a show that continues to inform, enrich, and inspire.",Presentation,STEM,,,,,,,,,,,,
